NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
13; 19/12/2031; Ind;1; HW
13; 21/12/2037; DCC NL;2; FH
13; 23/4/2038; Ind;1; HW
13; 17/6/2038; Ind;1; HW
13; 25/3/2039; Ind;1; HW
13; 8/8/2039; Ind;1; HW
13; 23/9/2039; Ind;1; HW
13; 8/10/2039; Ind;1; HW
13; 19/1/2040; Ind;1; HW
13; 28/6/2040; DCC NL;1; FH
13; 3/7/2040; Ind;1; HW
13; 7/8/2040; Ind;1; HW
13; 6/11/2040; Ind;1; HW
13; 17/11/2040; Ind;1; HW
13; 10/12/2040; Ind;1; HW
14; 27/10/2026; DCC L;4; FH
14; 3/6/2027; DCC L;5; FH
14; 26/3/2028; DCC NL;1; FH
14; 20/3/2031; DCC NL;5; HW
14; 22/6/2031; Ind;1; HW
14; 3/10/2034; Ind;1; HW
14; 7/9/2036; Ind;1; HW
14; 29/6/2037; Ind;1; HW
14; 26/11/2037; Ind;1; HW
14; 8/12/2038; Ind;1; HW
14; 16/5/2039; Ind;1; HW
14; 11/3/2040; Ind;1; HW
14; 24/12/2040; Ind;1; HW
15; 8/12/2020; DCC L;12; FH
15; 1/2/2022; DCC NL;2; FH
15; 18/8/2032; Ind;1; HW
15; 24/5/2034; Ind;1; HW
15; 28/12/2034; Ind;1; HW
15; 1/1/2036; Ind;1; HW
15; 17/9/2036; Ind;1; HW
15; 12/2/2037; Ind;1; HW
15; 19/6/2038; Ind;1; HW
15; 9/8/2038; Ind;1; HW
15; 16/12/2038; Ind;1; HW
15; 24/4/2039; Ind;1; HW
15; 13/6/2039; Ind;1; HW
15; 22/1/2040; Ind;1; HW
15; 13/5/2040; Ind;1; HW
16; 14/4/2016; DCC NL;1; FH
16; 9/6/2016; DCC NL;2; HW
16; 31/8/2023; DCC NL;3; FH
16; 18/7/2027; Ind;1; HW
16; 5/9/2030; Ind;1; HW
16; 9/3/2036; Ind;1; HW
16; 15/4/2037; Ind;1; HW
16; 18/3/2038; Ind;1; HW
16; 4/6/2038; Ind;1; HW
16; 29/7/2038; Ind;1; HW
16; 28/9/2038; Ind;1; HW
16; 21/10/2038; Ind;1; HW
16; 12/12/2038; Ind;1; HW
16; 25/6/2039; Ind;1; HW
16; 29/6/2039; Ind;1; HW
16; 9/9/2040; Ind;1; HW
16; 12/9/2040; Ind;1; HW
17; 28/3/2027; DCC NL;1; HW
17; 4/3/2031; DCC NL;1; FH
17; 8/6/2032; Ind;1; HW
17; 22/5/2033; Ind;1; HW
17; 12/1/2034; DCC NL;2; HW
17; 9/5/2035; Ind;1; HW
17; 17/4/2036; DCC NL;3; FH
17; 16/2/2037; DCC NL;3; HW
17; 22/8/2037; Ind;1; HW
17; 30/4/2038; Ind;1; HW
17; 23/12/2038; Ind;1; HW
17; 18/2/2039; Ind;1; HW
17; 19/8/2039; Ind;1; HW
17; 1/3/2040; Ind;1; HW
17; 8/4/2040; Ind;1; HW
17; 19/9/2040; Ind;1; HW
18; 3/2/2017; DCC NL;4; HW
18; 28/12/2031; DCC NL;3; HW
18; 10/2/2032; Ind;1; HW
18; 15/1/2036; Ind;1; HW
18; 8/10/2037; Ind;1; HW
18; 13/10/2037; Ind;1; HW
18; 21/3/2038; Ind;1; HW
18; 3/7/2038; Ind;1; HW
18; 31/8/2038; Ind;1; HW
18; 12/1/2039; Ind;1; HW
18; 29/11/2039; Ind;1; HW
18; 28/12/2039; Ind;1; HW
18; 27/1/2040; Ind;1; HW
18; 24/5/2040; Ind;1; HW
18; 16/8/2040; Ind;1; HW
19; 25/6/2021; DCC NL;2; FH
19; 19/10/2026; DCC L;4; FH
19; 2/4/2032; Ind;1; HW
19; 12/2/2035; Ind;1; HW
19; 2/1/2037; Ind;1; HW
19; 20/10/2037; Ind;1; HW
19; 23/10/2037; Ind;1; HW
19; 22/4/2038; Ind;1; HW
19; 19/7/2038; Ind;1; HW
19; 21/9/2038; Ind;1; HW
19; 1/11/2038; Ind;1; HW
19; 3/3/2039; DCC NL;1; FH
19; 26/6/2039; Ind;1; HW
19; 9/12/2039; Ind;1; HW
19; 14/5/2040; Ind;1; HW
20; 23/8/2019; DCC NL;2; FH
20; 29/6/2020; DCC NL;2; FH
20; 18/2/2022; DCC NL;2; HW
20; 10/11/2030; Ind;1; HW
20; 23/4/2033; Ind;1; HW
20; 7/12/2033; Ind;1; HW
20; 4/2/2035; Ind;1; HW
20; 31/3/2036; Ind;1; HW
20; 13/2/2037; Ind;1; HW
20; 31/12/2038; Ind;1; HW
20; 19/5/2039; Ind;1; HW
20; 1/7/2039; Ind;1; HW
20; 15/9/2039; Ind;1; HW
20; 18/12/2039; Ind;1; HW
20; 24/3/2040; Ind;1; HW
20; 17/4/2040; Ind;1; HW
21; 24/1/2034; Ind;1; HW
21; 20/11/2035; Ind;1; HW
21; 3/5/2036; Ind;1; HW
21; 24/6/2036; Ind;1; HW
21; 24/1/2037; Ind;1; HW
21; 2/3/2037; Ind;1; HW
21; 19/9/2037; Ind;1; HW
21; 25/1/2038; Ind;1; HW
21; 9/10/2039; Ind;1; HW
21; 9/1/2040; Ind;1; HW
22; 28/6/2032; Ind;1; HW
22; 17/8/2033; Ind;1; HW
22; 2/7/2035; Ind;1; HW
22; 26/4/2037; Ind;1; HW
22; 7/1/2038; Ind;1; HW
22; 11/2/2038; Ind;1; HW
22; 27/12/2038; Ind;1; HW
22; 9/2/2039; Ind;1; HW
22; 10/6/2039; Ind;1; HW
22; 5/12/2039; Ind;1; HW
22; 16/7/2040; Ind;1; HW
22; 8/12/2040; Ind;1; HW
23; 4/5/2016; DCC NL;2; FH
23; 26/8/2017; DCC NL;1; FH
23; 13/1/2021; DCC NL;3; FH
23; 16/8/2034; DCC NL;1; FH
23; 29/6/2035; Ind;1; HW
23; 16/12/2035; Ind;1; HW
23; 9/2/2038; Ind;1; HW
23; 28/4/2039; Ind;1; HW
23; 5/2/2040; Ind;1; HW
23; 29/3/2040; Ind;1; HW
23; 10/5/2040; Ind;1; HW
23; 3/6/2040; Ind;1; HW
23; 10/12/2040; Ind;1; HW
24; 4/10/2019; DCC NL;1; FH
24; 31/12/2027; Ind;1; HW
24; 27/11/2033; Ind;1; HW
24; 28/11/2033; Ind;1; HW
24; 27/3/2034; Ind;1; HW
24; 14/12/2034; Ind;1; HW
24; 22/6/2036; Ind;1; HW
24; 17/9/2036; Ind;1; HW
24; 30/3/2037; Ind;1; HW
24; 24/8/2038; Ind;1; HW
24; 21/11/2038; Ind;1; HW
24; 3/1/2039; Ind;1; HW
24; 15/10/2039; Ind;1; HW
24; 21/12/2039; Ind;1; HW
24; 28/9/2040; Ind;1; HW
25; 18/8/2024; DCC L;4; FH
25; 9/1/2032; DCC NL;4; FH
25; 10/7/2035; Ind;1; HW
25; 18/10/2036; Ind;1; HW
25; 9/2/2037; Ind;1; HW
25; 29/1/2038; Ind;1; HW
